region,specific_yield_kwh_per_kwp_year,source_url,data_status,notes
Moscow starter,950,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption; verify exact site with PVGIS or Global Solar Atlas.
Saint Petersburg starter,850,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption; verify exact site with PVGIS or Global Solar Atlas.
Krasnodar starter,1300,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption; verify exact site with PVGIS or Global Solar Atlas.
Rostov-on-Don starter,1250,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption; verify exact site with PVGIS or Global Solar Atlas.
Yekaterinburg starter,1050,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption; verify exact site with PVGIS or Global Solar Atlas.
Crimea starter,1400,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Crimea; verify exact site with PVGIS or Global Solar Atlas.
Belgorod starter,1150,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Belgorod; verify exact site with PVGIS or Global Solar Atlas.
Voronezh starter,1150,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Voronezh; verify exact site with PVGIS or Global Solar Atlas.
Kursk starter,1100,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Kursk; verify exact site with PVGIS or Global Solar Atlas.
Lipetsk starter,1100,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Lipetsk; verify exact site with PVGIS or Global Solar Atlas.
Tambov starter,1120,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Tambov; verify exact site with PVGIS or Global Solar Atlas.
Tula starter,1000,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Tula; verify exact site with PVGIS or Global Solar Atlas.
Ryazan starter,1030,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Ryazan; verify exact site with PVGIS or Global Solar Atlas.
Nizhny Novgorod starter,950,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Nizhny Novgorod; verify exact site with PVGIS or Global Solar Atlas.
Kazan starter,1050,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Kazan; verify exact site with PVGIS or Global Solar Atlas.
Samara starter,1150,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Samara; verify exact site with PVGIS or Global Solar Atlas.
Saratov starter,1200,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Saratov; verify exact site with PVGIS or Global Solar Atlas.
Volgograd starter,1250,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Volgograd; verify exact site with PVGIS or Global Solar Atlas.
Stavropol starter,1350,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Stavropol; verify exact site with PVGIS or Global Solar Atlas.
Sochi starter,1300,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Sochi; verify exact site with PVGIS or Global Solar Atlas.
Novosibirsk starter,1050,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Novosibirsk; verify exact site with PVGIS or Global Solar Atlas.
Chelyabinsk starter,1100,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Chelyabinsk; verify exact site with PVGIS or Global Solar Atlas.
Perm starter,900,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Perm; verify exact site with PVGIS or Global Solar Atlas.
Ufa starter,1050,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Ufa; verify exact site with PVGIS or Global Solar Atlas.
Kaliningrad starter,850,https://globalsolaratlas.info/,seed_verify_source,Starter annual yield assumption for Kaliningrad; verify exact site with PVGIS or Global Solar Atlas.
