region,jan_pct,feb_pct,mar_pct,apr_pct,may_pct,jun_pct,jul_pct,aug_pct,sep_pct,oct_pct,nov_pct,dec_pct,data_status,notes
Moscow starter,3,5,8,11,13,14,14,12,9,6,3,2,seed_verify_source,Starter seasonal split; verify exact site with PVGIS or Global Solar Atlas.
Saint Petersburg starter,2,4,8,11,14,15,15,12,9,5,3,2,seed_verify_source,Starter seasonal split; verify exact site with PVGIS or Global Solar Atlas.
Krasnodar starter,5,6,9,10,12,13,13,12,9,6,4,3,seed_verify_source,Starter seasonal split; verify exact site with PVGIS or Global Solar Atlas.
Rostov-on-Don starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split; verify exact site with PVGIS or Global Solar Atlas.
Yekaterinburg starter,3,5,9,11,13,14,14,11,9,6,3,2,seed_verify_source,Starter seasonal split; verify exact site with PVGIS or Global Solar Atlas.
Crimea starter,5,6,9,10,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Crimea; verify exact site with PVGIS or Global Solar Atlas.
Belgorod starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Belgorod; verify exact site with PVGIS or Global Solar Atlas.
Voronezh starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Voronezh; verify exact site with PVGIS or Global Solar Atlas.
Kursk starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Kursk; verify exact site with PVGIS or Global Solar Atlas.
Lipetsk starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Lipetsk; verify exact site with PVGIS or Global Solar Atlas.
Tambov starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Tambov; verify exact site with PVGIS or Global Solar Atlas.
Tula starter,3,5,8,11,13,14,14,12,9,6,3,2,seed_verify_source,Starter seasonal split for Tula; verify exact site with PVGIS or Global Solar Atlas.
Ryazan starter,3,5,8,11,13,14,14,12,9,6,3,2,seed_verify_source,Starter seasonal split for Ryazan; verify exact site with PVGIS or Global Solar Atlas.
Nizhny Novgorod starter,3,5,8,11,13,14,14,12,9,6,3,2,seed_verify_source,Starter seasonal split for Nizhny Novgorod; verify exact site with PVGIS or Global Solar Atlas.
Kazan starter,3,5,9,11,13,14,14,11,9,6,3,2,seed_verify_source,Starter seasonal split for Kazan; verify exact site with PVGIS or Global Solar Atlas.
Samara starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Samara; verify exact site with PVGIS or Global Solar Atlas.
Saratov starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Saratov; verify exact site with PVGIS or Global Solar Atlas.
Volgograd starter,4,6,9,11,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Volgograd; verify exact site with PVGIS or Global Solar Atlas.
Stavropol starter,5,6,9,10,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Stavropol; verify exact site with PVGIS or Global Solar Atlas.
Sochi starter,5,6,9,10,12,13,13,12,9,6,3,2,seed_verify_source,Starter seasonal split for Sochi; verify exact site with PVGIS or Global Solar Atlas.
Novosibirsk starter,3,5,9,11,13,14,14,11,9,6,3,2,seed_verify_source,Starter seasonal split for Novosibirsk; verify exact site with PVGIS or Global Solar Atlas.
Chelyabinsk starter,3,5,9,11,13,14,14,11,9,6,3,2,seed_verify_source,Starter seasonal split for Chelyabinsk; verify exact site with PVGIS or Global Solar Atlas.
Perm starter,2,4,8,11,14,15,15,12,9,5,3,2,seed_verify_source,Starter seasonal split for Perm; verify exact site with PVGIS or Global Solar Atlas.
Ufa starter,3,5,9,11,13,14,14,11,9,6,3,2,seed_verify_source,Starter seasonal split for Ufa; verify exact site with PVGIS or Global Solar Atlas.
Kaliningrad starter,2,4,8,11,14,15,15,12,9,5,3,2,seed_verify_source,Starter seasonal split for Kaliningrad; verify exact site with PVGIS or Global Solar Atlas.
