brand,series,model,chemistry,nominal_energy_kwh,usable_energy_kwh,nominal_voltage_v,capacity_ah,cycle_life_min,cycle_life_max,communication,bms,compatibility,data_status,notes,max_charge_current_a,max_discharge_current_a,charge_voltage_v,float_voltage_v,weight_kg,dimensions_mm,active_balancing_a,image_url,image_source_url
Pylontech,US Series,US5000,LiFePO4,4.8,,48,,6000,8000,CAN/RS485,Integrated BMS,Deye compatible,seed_verify_datasheet,User-listed premium battery; verify exact usable energy and protocol settings.,,,,,,,,,
Pylontech,Force L2,Force L2,LiFePO4,,,,,6000,8000,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed premium low-voltage stack; datasheet parameters pending.,,,,,,,,,
Pylontech,Force H2,Force H2,LiFePO4,,,,,6000,8000,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed premium high-voltage stack; datasheet parameters pending.,,,,,,,,,
Dyness,BX Series,BX51100,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,seed_verify_datasheet,User-listed value battery; verify exact cycle life and protocol settings.,,,,,,,,,
Dyness,PowerRack,PowerRack,LiFePO4,,,,,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed rack battery series; datasheet parameters pending.,,,,,,,,,
Dyness,Tower,Tower,LiFePO4,,,,,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed stack battery series; datasheet parameters pending.,,,,,,,,,
Deye ESS,SE Series,SE-G5.1,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Deye BMS,Deye native,seed_verify_datasheet,Deye ESS model; native protocol expected; verify datasheet.,,,,,,,,,
Deye ESS,SE Series,SE-F5,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Deye BMS,Deye native,model_only_needs_datasheet,Deye ESS model; datasheet parameters pending.,,,,,,,,,
Deye ESS,RW Series,RW-F16,LiFePO4,16,,51.2,,,,CAN/RS485,Deye BMS,Deye native,seed_verify_datasheet,Deye ESS high-capacity model; verify exact energy and current limits.,,,,,,,,,
Gobel Power,Rack/Wall,Gobel Power 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,JK/PACE BMS,Deye compatible,model_only_needs_datasheet,User-listed mid-segment supplier; often EVE Grade A+ cells.,,,,,,,,,
Gobel Power,Rack/Wall,Gobel Power 10.24kWh 51.2V 200Ah,LiFePO4,10.24,,51.2,200,,,CAN/RS485,JK/PACE BMS,Deye compatible,model_only_needs_datasheet,User-listed mid-segment supplier; datasheet parameters pending.,,,,,,,,,
Gobel Power,Rack/Wall,Gobel Power 15.36kWh 51.2V 300Ah,LiFePO4,15.36,,51.2,300,,,CAN/RS485,JK/PACE BMS,Deye compatible,model_only_needs_datasheet,User-requested 300Ah battery option; datasheet parameters pending.,,,,,,,,,
Gobel Power,Rack/Wall,Gobel Power 16.08kWh 51.2V 314Ah,LiFePO4,16.08,,51.2,314,,,CAN/RS485,JK/PACE BMS,Deye compatible,model_only_needs_datasheet,User-requested 314Ah battery option; datasheet parameters pending.,,,,,,,,assets/equipment/batteries/battery-51v-314ah-16kwh-alibaba.jpg,user_catalog_reference
GSL Energy,Wall/Rack,GSL 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed supplier; EVE/CATL cells reported by user.,,,,,,,,,
GSL Energy,Wall/Rack,GSL 10.24kWh 51.2V 200Ah,LiFePO4,10.24,,51.2,200,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed supplier; datasheet parameters pending.,,,,,,,,,
Felicity ESS,LPBA Series,LPBA48100-OL,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,Common Felicity low-voltage model candidate; datasheet parameters pending.,,,,,,,,,
Felicity ESS,LPBF Series,LPBF48100-M,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,Common Felicity low-voltage model candidate; datasheet parameters pending.,,,,,,,,,
HinaESS,Rack/Commercial,HinaESS 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed commercial battery supplier; datasheet parameters pending.,,,,,,,,,
HinaESS,Rack/Commercial,HinaESS 10.24kWh 51.2V 200Ah,LiFePO4,10.24,,51.2,200,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,User-listed commercial battery supplier; datasheet parameters pending.,,,,,,,,,
Basen Green,Rack/Wall,Basen Green 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
Basen Green,Rack/Wall,Basen Green 10.24kWh 51.2V 200Ah,LiFePO4,10.24,,51.2,200,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
HTE,Rack/Wall,HTE 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
SRNE ESS,Rack/Wall,SRNE ESS 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
Hinen,Rack/Wall,Hinen 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
Svolt ESS,Rack/Wall,Svolt ESS 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
EVE Energy ESS,Rack/Wall,EVE Energy ESS 5.12kWh 51.2V 100Ah,LiFePO4,5.12,,51.2,100,,,CAN/RS485,Integrated BMS,Deye compatible,model_only_needs_datasheet,OEM battery candidate; datasheet parameters pending.,,,,,,,,,
Quantum Power,ST Series,QPW-ST314,LiFePO4,16.077,14.47,51.2,314,8000,8000,,TDT Smart BMS,Deye compatible; verify protocol settings,user_photo_label_verified,User photo label: Quantum Power QPW-ST314; 51.2V 314Ah 16077Wh; LiFePO4; charge/discharge 150A; 8000 cycles at 0.5C; charge 56.8-57.6V; float 54.4-56.6V; operating/storage 0-60C.,150,150,56.8-57.6,54.4-56.6,125,505x260x775,3,assets/equipment/batteries/quantum-power-qpw-st314.jpg,user_uploaded_photo
